fecha_online,pais,conteo,conteo_MA,semana
27,Colombia,8482.0,6969.666666666667,12 de julio
28,Colombia,9266.0,8099.666666666667,19 de julio
29,Colombia,7209.0,8319.0,26 de julio
30,Colombia,8646.0,8373.666666666666,2 de agosto
31,Colombia,7762.0,7872.333333333333,9 de agosto
32,Colombia,6929.0,7779.0,16 de agosto
0,Costa Rica,28.0,28.0,5 de enero
1,Costa Rica,183.0,105.5,12 de enero
2,Costa Rica,184.0,131.66666666666666,19 de enero
3,Costa Rica,204.0,190.33333333333334,26 de enero
4,Costa Rica,265.0,217.66666666666666,2 de febrero
5,Costa Rica,723.0,397.3333333333333,9 de febrero
6,Costa Rica,1309.0,765.6666666666666,16 de febrero
7,Costa Rica,132.0,721.3333333333334,23 de febrero
8,Costa Rica,326.0,589.0,1 de marzo
9,Costa Rica,557.0,338.3333333333333,8 de marzo
10,Costa Rica,1220.0,701.0,15 de marzo
11,Costa Rica,862.0,879.6666666666666,22 de marzo
12,Costa Rica,42.0,708.0,29 de marzo
13,Costa Rica,926.0,610.0,5 de abril
14,Costa Rica,165.0,377.6666666666667,12 de abril
15,Costa Rica,276.0,455.6666666666667,19 de abril
16,Costa Rica,913.0,451.3333333333333,26 de abril
17,Costa Rica,661.0,616.6666666666666,3 de mayo
18,Costa Rica,657.0,743.6666666666666,10 de mayo
19,Costa Rica,435.0,584.3333333333334,17 de mayo
20,Costa Rica,385.0,492.3333333333333,24 de mayo
21,Costa Rica,678.0,499.3333333333333,31 de mayo
22,Costa Rica,655.0,572.6666666666666,7 de junio
23,Costa Rica,447.0,593.3333333333334,14 de junio
24,Costa Rica,224.0,442.0,21 de junio
25,Costa Rica,188.0,286.3333333333333,28 de junio
26,Costa Rica,470.0,294.0,5 de julio
27,Costa Rica,460.0,372.6666666666667,12 de julio
28,Costa Rica,526.0,485.3333333333333,19 de julio
29,Costa Rica,237.0,407.6666666666667,26 de julio
30,Costa Rica,419.0,394.0,2 de agosto
31,Costa Rica,576.0,410.6666666666667,9 de agosto
32,Costa Rica,308.0,434.3333333333333,16 de agosto
0,Ecuador,257.0,257.0,5 de enero
1,Ecuador,926.0,591.5,12 de enero
2,Ecuador,1030.0,737.6666666666666,19 de enero
3,Ecuador,574.0,843.3333333333334,26 de enero
4,Ecuador,739.0,781.0,2 de febrero
5,Ecuador,1844.0,1052.3333333333333,9 de febrero
6,Ecuador,2678.0,1753.6666666666667,16 de febrero
7,Ecuador,641.0,1721.0,23 de febrero
8,Ecuador,386.0,1235.0,1 de marzo
9,Ecuador,1346.0,791.0,8 de marzo
10,Ecuador,1467.0,1066.3333333333333,15 de marzo
11,Ecuador,595.0,1136.0,22 de marzo
12,Ecuador,452.0,838.0,29 de marzo
13,Ecuador,261.0,436.0,5 de abril
14,Ecuador,264.0,325.6666666666667,12 de abril
15,Ecuador,479.0,334.6666666666667,19 de abril
16,Ecuador,185.0,309.3333333333333,26 de abril
17,Ecuador,231.0,298.3333333333333,3 de mayo
18,Ecuador,352.0,256.0,10 de mayo
19,Ecuador,284.0,289.0,17 de mayo
20,Ecuador,210.0,282.0,24 de mayo
21,Ecuador,136.0,210.0,31 de mayo
22,Ecuador,336.0,227.33333333333334,7 de junio
23,Ecuador,504.0,325.3333333333333,14 de junio
24,Ecuador,317.0,385.6666666666667,21 de junio
25,Ecuador,413.0,411.3333333333333,28 de junio
26,Ecuador,458.0,396.0,5 de julio
27,Ecuador,443.0,438.0,12 de julio
28,Ecuador,451.0,450.6666666666667,19 de julio
29,Ecuador,397.0,430.3333333333333,26 de julio
30,Ecuador,320.0,389.3333333333333,2 de agosto
31,Ecuador,349.0,355.3333333333333,9 de agosto
32,Ecuador,338.0,335.6666666666667,16 de agosto
0,El Salvador,370.0,370.0,5 de enero
1,El Salvador,810.0,590.0,12 de enero
2,El Salvador,511.0,563.6666666666666,19 de enero
3,El Salvador,631.0,650.6666666666666,26 de enero
4,El Salvador,389.0,510.3333333333333,2 de febrero
5,El Salvador,2682.0,1234.0,9 de febrero
6,El Salvador,3926.0,2332.3333333333335,16 de febrero
7,El Salvador,603.0,2403.6666666666665,23 de febrero
8,El Salvador,498.0,1675.6666666666667,1 de marzo
9,El Salvador,1955.0,1018.6666666666666,8 de marzo
10,El Salvador,2010.0,1487.6666666666667,15 de marzo
11,El Salvador,1045.0,1670.0,22 de marzo
12,El Salvador,231.0,1095.3333333333333,29 de marzo
13,El Salvador,1072.0,782.6666666666666,5 de abril
14,El Salvador,217.0,506.6666666666667,12 de abril
15,El Salvador,373.0,554.0,19 de abril
16,El Salvador,343.0,311.0,26 de abril
17,El Salvador,596.0,437.3333333333333,3 de mayo
18,El Salvador,504.0,481.0,10 de mayo
