Unnamed: 0,Ocupaciones,Habilidades
101,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
102,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
103,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-2-6: medir propiedades físicas 
104,9-5: Vendedores ambulantes de servicios y afines ,1-6-10: manipular animales 
105,9-5: Vendedores ambulantes de servicios y afines ,1-8-6: operar maquinaria para la fabricación de productos 
106,1-3: Directores y gerentes de producción y operaciones ,1-6-10: manipular animales 
107,4-1: Oficinistas ,1-8-7: utilizar instrumentos y equipos de precisión 
108,1-3: Directores y gerentes de producción y operaciones ,1-5-6: utilizar herramientas digitales para controlar maquinaria 
109,3-2: Profesionales de nivel medio de la salud ,1-3-5: facilitar información y apoyo al público y a los clientes 
110,"7-5: Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines ",1-6-3: mover y elevar 
111,4-4: Otro personal de apoyo administrativo ,1-4-5: realizar tareas administrativas 
112,9-1: Limpiadores y asistentes ,1-2-10: realizar seguimiento de avances en el ámbito de especialización 
113,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-3-5: facilitar información y apoyo al público y a los clientes 
114,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
115,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
116,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-4-8: reclutar y contratar 
117,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-11: limpiar 
118,5-2: Vendedores ,1-3-6: preparar y servir alimentos y bebidas 
119,4-4: Otro personal de apoyo administrativo ,1-6-10: manipular animales 
120,1-3: Directores y gerentes de producción y operaciones ,1-3-6: preparar y servir alimentos y bebidas 
121,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ","1-8-8: instalar, mantener y reparar equipos mecánicos "
