Unnamed: 0,Ocupaciones,Habilidades
1316,2-1: Profesionales de las ciencias y de la ingeniería ,1-2-5: procesar información 
1317,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-2-5: procesar información 
1318,7-3: Artesanos y operarios de las artes gráficas ,1-4-2: desarrollar objetivos y estrategias 
1319,1-2: Directores administradores y comerciales ,1-5-6: utilizar herramientas digitales para controlar maquinaria 
1320,2-5: Profesionales de tecnología de la información y las comunicaciones ,"1-2-9: realizar seguimiento, inspección y ensayos "
1321,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
1322,9-5: Vendedores ambulantes de servicios y afines ,1-6-10: manipular animales 
1323,9-5: Vendedores ambulantes de servicios y afines ,1-6-12: lavar y mantener textiles y prendas de vestir 
1324,2-1: Profesionales de las ciencias y de la ingeniería ,1-6-4: transformar y mezclar materiales 
1325,4-4: Otro personal de apoyo administrativo ,1-5-2: programar sistemas informáticos 
1326,1-3: Directores y gerentes de producción y operaciones ,1-5-6: utilizar herramientas digitales para controlar maquinaria 
1327,5-1: Trabajadores de los servicios personales ,1-4-2: desarrollar objetivos y estrategias 
1328,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-8-3: conducir vehículos 
1329,4-3: Empleados contables y encargados del registro de materiales ,"1-2-2: realizar estudios, investigaciones y análisis "
1330,5-2: Vendedores ,"1-1-7: promocionar, vender y comprar "
1331,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
1332,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-12: lavar y mantener textiles y prendas de vestir 
1333,7-3: Artesanos y operarios de las artes gráficas ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
1334,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-1-5: presentar información 
1335,7-3: Artesanos y operarios de las artes gráficas ,"1-1-12: crear materiales artísticos, visuales o docentes "
1336,5-1: Trabajadores de los servicios personales ,1-5-1: trabajar con ordenadores 
1337,7-3: Artesanos y operarios de las artes gráficas ,1-6-8: utilizar herramientas manuales 
1338,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
1339,3-5: Técnicos de la tecnología de la información y las comunicaciones ,"1-2-2: realizar estudios, investigaciones y análisis "
1340,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,"1-6-9: colocar materiales, herramientas o equipos "
1341,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-3-4: proteger y velar por el cumplimiento 
1342,9-5: Vendedores ambulantes de servicios y afines ,"1-5-5: utilizar herramientas digitales para el trabajo colaborativo, la creación de contenidos y la resolución de problemas "
1343,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-3-2: ofrecer orientación 
1344,5-1: Trabajadores de los servicios personales ,1-3-7: prestar cuidados personales en general 
1345,8-1: Operadores de instalaciones fijas y máquinas ,"1-6-7: elaborar moldes, formas, modelos y patrones "
1346,5-4: Personal de los servicios de protección ,1-3-4: proteger y velar por el cumplimiento 
1347,2-5: Profesionales de tecnología de la información y las comunicaciones ,"1-2-9: realizar seguimiento, inspección y ensayos "
1348,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-6-2: clasificar y envasar, embalar y empaquetar mercancías y materiales "
1349,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-4-5: realizar tareas administrativas 
1350,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-3: actuar como enlace y crear redes de contactos 
1351,3-2: Profesionales de nivel medio de la salud ,1-3-5: facilitar información y apoyo al público y a los clientes 
1352,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
1353,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-6: ensamblar y fabricar productos 
1354,1-2: Directores administradores y comerciales ,1-6-12: lavar y mantener textiles y prendas de vestir 
1355,1-2: Directores administradores y comerciales ,1-4-10: tomar decisiones 
1356,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-4-5: realizar tareas administrativas 
1357,4-2: Empleados en trato directo con el público ,1-1-5: presentar información 
1358,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
1359,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-12: lavar y mantener textiles y prendas de vestir 
1360,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-6-5: ocuparse de plantas y cultivos 
1361,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-5: ocuparse de plantas y cultivos 
1362,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
1363,4-3: Empleados contables y encargados del registro de materiales ,"1-4-3: organizar, planificar y programar trabajo y actividades "
1364,8-2: Ensambladores ,1-8-3: conducir vehículos 
1365,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-6: preparar y servir alimentos y bebidas 
1366,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-2: negociar 
1367,4-1: Oficinistas ,"1-2-9: realizar seguimiento, inspección y ensayos "
1368,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
1369,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-12: lavar y mantener textiles y prendas de vestir 
1370,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-7-1: construir 
1371,9-1: Limpiadores y asistentes ,"1-2-9: realizar seguimiento, inspección y ensayos "
1372,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
1373,2-3: Profesionales de la enseñanza ,"1-2-9: realizar seguimiento, inspección y ensayos "
1374,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-2-3: documentar y registrar información 
1375,2-1: Profesionales de las ciencias y de la ingeniería ,1-6-4: transformar y mezclar materiales 
1376,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
1377,4-4: Otro personal de apoyo administrativo ,1-3-6: preparar y servir alimentos y bebidas 
1378,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-3: configurar y proteger sistemas informáticos 
1379,"7-5: Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines ","1-2-9: realizar seguimiento, inspección y ensayos "
1380,4-4: Otro personal de apoyo administrativo ,1-6-3: mover y elevar 
1381,4-3: Empleados contables y encargados del registro de materiales ,1-4-5: realizar tareas administrativas 
1382,9-4: Ayudantes de preparación de alimentos ,1-1-5: presentar información 
1383,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-3-5: facilitar información y apoyo al público y a los clientes 
1384,7-4: Trabajadores especializados en electricidad y la electrotecnología ,1-7-3: instalar infraestructura interior o exterior 
1385,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-3-2: ofrecer orientación 
1386,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-3-7: prestar cuidados personales en general 
1387,"2-6: Profesionales en derecho, en ciencias sociales y culturales ","1-2-9: realizar seguimiento, inspección y ensayos "
1388,1-2: Directores administradores y comerciales ,1-1-3: actuar como enlace y crear redes de contactos 
1389,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
1390,"9-2: Peones agropecuarios, pesqueros y forestales ",1-4-8: reclutar y contratar 
1391,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
1392,7-3: Artesanos y operarios de las artes gráficas ,1-6-8: utilizar herramientas manuales 
1393,9-5: Vendedores ambulantes de servicios y afines ,1-3-2: ofrecer orientación 
1394,4-4: Otro personal de apoyo administrativo ,1-3-6: preparar y servir alimentos y bebidas 
1395,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
1396,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-2-4: gestionar información 
1397,5-2: Vendedores ,"1-1-12: crear materiales artísticos, visuales o docentes "
1398,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-1: manipular y mover 
1399,5-2: Vendedores ,1-6-12: lavar y mantener textiles y prendas de vestir 
1400,7-3: Artesanos y operarios de las artes gráficas ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
1401,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
1402,4-1: Oficinistas ,"1-6-9: colocar materiales, herramientas o equipos "
1403,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-5: ocuparse de plantas y cultivos 
1404,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-4-10: tomar decisiones 
1405,4-2: Empleados en trato directo con el público ,1-8-3: conducir vehículos 
1406,5-1: Trabajadores de los servicios personales ,1-4-5: realizar tareas administrativas 
1407,"9-2: Peones agropecuarios, pesqueros y forestales ",1-6-11: limpiar 
1408,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ","1-1-12: crear materiales artísticos, visuales o docentes "
1409,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,"1-2-2: realizar estudios, investigaciones y análisis "
1410,5-2: Vendedores ,1-3-2: ofrecer orientación 
1411,8-1: Operadores de instalaciones fijas y máquinas ,1-8-7: utilizar instrumentos y equipos de precisión 
1412,1-2: Directores administradores y comerciales ,"1-1-7: promocionar, vender y comprar "
1413,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-5: facilitar información y apoyo al público y a los clientes 
1414,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-1-10: solucionar problemas 
1415,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-3-4: proteger y velar por el cumplimiento 
1416,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
1417,2-2: Profesionales de la salud ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
1418,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-3-4: proteger y velar por el cumplimiento 
1419,1-2: Directores administradores y comerciales ,"1-4-3: organizar, planificar y programar trabajo y actividades "
1420,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
1421,1-2: Directores administradores y comerciales ,1-1-10: solucionar problemas 
1422,8-1: Operadores de instalaciones fijas y máquinas ,1-6-4: transformar y mezclar materiales 
1423,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-10: manipular animales 
1424,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
1425,4-3: Empleados contables y encargados del registro de materiales ,1-8-6: operar maquinaria para la fabricación de productos 
1426,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
1427,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-6: ensamblar y fabricar productos 
1428,4-2: Empleados en trato directo con el público ,1-3-6: preparar y servir alimentos y bebidas 
1429,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-7-1: construir 
1430,2-4: Especialistas en organización de la administración pública y de empresas ,1-4-9: supervisar a personas 
1431,9-4: Ayudantes de preparación de alimentos ,1-3-6: preparar y servir alimentos y bebidas 
1432,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-2-3: documentar y registrar información 
1433,8-2: Ensambladores ,1-6-6: ensamblar y fabricar productos 
1434,5-2: Vendedores ,1-3-6: preparar y servir alimentos y bebidas 
1435,4-3: Empleados contables y encargados del registro de materiales ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
1436,8-2: Ensambladores ,"1-2-9: realizar seguimiento, inspección y ensayos "
1437,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
1438,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-12: lavar y mantener textiles y prendas de vestir 
1439,9-5: Vendedores ambulantes de servicios y afines ,1-1-6: prestar asesoramiento y consultoría 
1440,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-9: trabajar con otros 
1441,5-1: Trabajadores de los servicios personales ,1-1-8: obtener información verbal 
1442,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
1443,5-3: Trabajadores de los cuidados personales ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
1444,5-2: Vendedores ,1-6-12: lavar y mantener textiles y prendas de vestir 
1445,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-2-9: realizar seguimiento, inspección y ensayos "
1446,9-5: Vendedores ambulantes de servicios y afines ,1-1-10: solucionar problemas 
1447,3-2: Profesionales de nivel medio de la salud ,"1-4-3: organizar, planificar y programar trabajo y actividades "
1448,9-4: Ayudantes de preparación de alimentos ,1-3-6: preparar y servir alimentos y bebidas 
1449,5-2: Vendedores ,1-6-1: manipular y mover 
1450,9-1: Limpiadores y asistentes ,1-4-10: tomar decisiones 
1451,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-1-10: solucionar problemas 
1452,9-5: Vendedores ambulantes de servicios y afines ,1-3-5: facilitar información y apoyo al público y a los clientes 
1453,1-2: Directores administradores y comerciales ,1-2-7: calcular y estimar 
1454,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ","1-2-9: realizar seguimiento, inspección y ensayos "
1455,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-2-5: procesar información 
1456,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-7: prestar cuidados personales en general 
1457,7-3: Artesanos y operarios de las artes gráficas ,1-7-2: construir y repara estructuras 
1458,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ","1-4-3: organizar, planificar y programar trabajo y actividades "
1459,"7-5: Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines ",1-6-1: manipular y mover 
1460,"7-5: Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines ",1-1-9: trabajar con otros 
1461,4-4: Otro personal de apoyo administrativo ,1-4-5: realizar tareas administrativas 
1462,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,1-5-2: programar sistemas informáticos 
1463,9-5: Vendedores ambulantes de servicios y afines ,1-6-12: lavar y mantener textiles y prendas de vestir 
1464,1-3: Directores y gerentes de producción y operaciones ,1-6-3: mover y elevar 
1465,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-6-3: mover y elevar 
1466,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-8-2: operar maquinaria móvil 
1467,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
1468,1-2: Directores administradores y comerciales ,1-6-12: lavar y mantener textiles y prendas de vestir 
1469,8-1: Operadores de instalaciones fijas y máquinas ,1-8-3: conducir vehículos 
1470,5-2: Vendedores ,1-5-4: acceder a y analizar datos digitales 
1471,4-2: Empleados en trato directo con el público ,1-4-5: realizar tareas administrativas 
1472,"9-2: Peones agropecuarios, pesqueros y forestales ","1-8-8: instalar, mantener y reparar equipos mecánicos "
1473,1-3: Directores y gerentes de producción y operaciones ,1-3-6: preparar y servir alimentos y bebidas 
1474,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-2-7: calcular y estimar 
1475,8-1: Operadores de instalaciones fijas y máquinas ,1-8-7: utilizar instrumentos y equipos de precisión 
1476,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-4-5: realizar tareas administrativas 
1477,4-3: Empleados contables y encargados del registro de materiales ,"1-2-9: realizar seguimiento, inspección y ensayos "
1478,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
1479,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-8-3: conducir vehículos 
1480,4-1: Oficinistas ,1-6-10: manipular animales 
1481,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-5-6: utilizar herramientas digitales para controlar maquinaria 
1482,4-2: Empleados en trato directo con el público ,1-3-1: prestar asistencia y cuidados 
1483,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
1484,9-5: Vendedores ambulantes de servicios y afines ,1-3-1: prestar asistencia y cuidados 
1485,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
1486,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ","1-1-12: crear materiales artísticos, visuales o docentes "
1487,2-3: Profesionales de la enseñanza ,1-8-3: conducir vehículos 
1488,"9-2: Peones agropecuarios, pesqueros y forestales ",1-6-1: manipular y mover 
1489,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ","1-1-7: promocionar, vender y comprar "
1490,4-1: Oficinistas ,1-8-3: conducir vehículos 
1491,4-3: Empleados contables y encargados del registro de materiales ,1-1-8: obtener información verbal 
1492,4-2: Empleados en trato directo con el público ,1-4-2: desarrollar objetivos y estrategias 
1493,4-1: Oficinistas ,1-6-13: manipular y eliminar residuos y materiales peligrosos 
1494,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
1495,9-5: Vendedores ambulantes de servicios y afines ,1-6-1: manipular y mover 
1496,1-2: Directores administradores y comerciales ,1-3-5: facilitar información y apoyo al público y a los clientes 
1497,1-3: Directores y gerentes de producción y operaciones ,"1-6-7: elaborar moldes, formas, modelos y patrones "
1498,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-3-7: prestar cuidados personales en general 
1499,5-1: Trabajadores de los servicios personales ,1-3-7: prestar cuidados personales en general 
1500,4-1: Oficinistas ,1-8-3: conducir vehículos 
1501,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-5: procesar información 
1502,1-3: Directores y gerentes de producción y operaciones ,1-2-4: gestionar información 
1503,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,"1-2-9: realizar seguimiento, inspección y ensayos "
1504,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-4-4: asignar y controlar recursos 
1505,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-1-3: actuar como enlace y crear redes de contactos 
1506,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-1: manipular y mover 
1507,4-4: Otro personal de apoyo administrativo ,"1-4-3: organizar, planificar y programar trabajo y actividades "
1508,4-4: Otro personal de apoyo administrativo ,1-7-1: construir 
1509,9-5: Vendedores ambulantes de servicios y afines ,1-1-8: obtener información verbal 
1510,9-4: Ayudantes de preparación de alimentos ,1-3-4: proteger y velar por el cumplimiento 
1511,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-4-9: supervisar a personas 
1512,2-2: Profesionales de la salud ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
1513,9-1: Limpiadores y asistentes ,1-6-5: ocuparse de plantas y cultivos 
1514,4-4: Otro personal de apoyo administrativo ,1-4-5: realizar tareas administrativas 
1515,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-3-6: preparar y servir alimentos y bebidas 
1516,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
1517,3-2: Profesionales de nivel medio de la salud ,1-4-5: realizar tareas administrativas 
1518,"7-5: Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines ",1-3-2: ofrecer orientación 
1519,9-5: Vendedores ambulantes de servicios y afines ,1-6-10: manipular animales 
1520,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-4: proteger y velar por el cumplimiento 
1521,5-1: Trabajadores de los servicios personales ,1-6-10: manipular animales 
1522,8-1: Operadores de instalaciones fijas y máquinas ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
1523,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-4: enseñar y formar 
1524,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
1525,4-4: Otro personal de apoyo administrativo ,1-3-6: preparar y servir alimentos y bebidas 
1526,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-1-10: solucionar problemas 
1527,4-3: Empleados contables y encargados del registro de materiales ,1-4-5: realizar tareas administrativas 
1528,5-2: Vendedores ,1-6-12: lavar y mantener textiles y prendas de vestir 
1529,4-4: Otro personal de apoyo administrativo ,1-4-5: realizar tareas administrativas 
1530,7-3: Artesanos y operarios de las artes gráficas ,"1-1-12: crear materiales artísticos, visuales o docentes "
1531,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-12: lavar y mantener textiles y prendas de vestir 
1532,9-5: Vendedores ambulantes de servicios y afines ,1-4-10: tomar decisiones 
1533,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-5-1: trabajar con ordenadores 
1534,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-8-2: operar maquinaria móvil 
1535,9-5: Vendedores ambulantes de servicios y afines ,1-3-7: prestar cuidados personales en general 
1536,4-4: Otro personal de apoyo administrativo ,1-2-3: documentar y registrar información 
1537,4-2: Empleados en trato directo con el público ,1-3-1: prestar asistencia y cuidados 
1538,3-2: Profesionales de nivel medio de la salud ,"1-4-3: organizar, planificar y programar trabajo y actividades "
1539,4-4: Otro personal de apoyo administrativo ,1-4-5: realizar tareas administrativas 
1540,5-2: Vendedores ,1-1-5: presentar información 
1541,1-2: Directores administradores y comerciales ,1-3-1: prestar asistencia y cuidados 
1542,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-4: transformar y mezclar materiales 
1543,2-4: Especialistas en organización de la administración pública y de empresas ,1-6-11: limpiar 
1544,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
1545,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-3-6: preparar y servir alimentos y bebidas 
1546,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-4: gestionar información 
1547,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-12: lavar y mantener textiles y prendas de vestir 
1548,5-4: Personal de los servicios de protección ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
1549,2-1: Profesionales de las ciencias y de la ingeniería ,1-1-6: prestar asesoramiento y consultoría 
1550,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-5-3: configurar y proteger sistemas informáticos 
1551,4-4: Otro personal de apoyo administrativo ,1-4-5: realizar tareas administrativas 
1552,9-5: Vendedores ambulantes de servicios y afines ,1-6-3: mover y elevar 
1553,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-4: gestionar información 
1554,2-4: Especialistas en organización de la administración pública y de empresas ,1-5-2: programar sistemas informáticos 
1555,9-5: Vendedores ambulantes de servicios y afines ,1-4-10: tomar decisiones 
1556,2-4: Especialistas en organización de la administración pública y de empresas ,1-6-6: ensamblar y fabricar productos 
1557,9-1: Limpiadores y asistentes ,1-4-8: reclutar y contratar 
1558,4-2: Empleados en trato directo con el público ,1-3-2: ofrecer orientación 
1559,2-2: Profesionales de la salud ,1-8-3: conducir vehículos 
1560,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-5: facilitar información y apoyo al público y a los clientes 
1561,8-1: Operadores de instalaciones fijas y máquinas ,1-3-5: facilitar información y apoyo al público y a los clientes 
1562,4-2: Empleados en trato directo con el público ,1-1-9: trabajar con otros 
1563,9-5: Vendedores ambulantes de servicios y afines ,1-6-12: lavar y mantener textiles y prendas de vestir 
1564,8-1: Operadores de instalaciones fijas y máquinas ,"1-6-7: elaborar moldes, formas, modelos y patrones "
1565,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-6-3: mover y elevar 
1566,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,"1-6-7: elaborar moldes, formas, modelos y patrones "
1567,4-4: Otro personal de apoyo administrativo ,1-3-6: preparar y servir alimentos y bebidas 
1568,4-3: Empleados contables y encargados del registro de materiales ,1-4-8: reclutar y contratar 
1569,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-1-3: actuar como enlace y crear redes de contactos 
1570,2-5: Profesionales de tecnología de la información y las comunicaciones ,"1-2-9: realizar seguimiento, inspección y ensayos "
1571,5-2: Vendedores ,"1-4-3: organizar, planificar y programar trabajo y actividades "
1572,3-2: Profesionales de nivel medio de la salud ,1-3-6: preparar y servir alimentos y bebidas 
1573,1-2: Directores administradores y comerciales ,1-3-6: preparar y servir alimentos y bebidas 
1574,2-1: Profesionales de las ciencias y de la ingeniería ,1-8-10: operar aeronaves 
1575,5-4: Personal de los servicios de protección ,1-1-5: presentar información 
1576,5-4: Personal de los servicios de protección ,1-3-4: proteger y velar por el cumplimiento 
1577,1-2: Directores administradores y comerciales ,1-1-6: prestar asesoramiento y consultoría 
1578,3-2: Profesionales de nivel medio de la salud ,"1-2-2: realizar estudios, investigaciones y análisis "
1579,3-2: Profesionales de nivel medio de la salud ,1-3-5: facilitar información y apoyo al público y a los clientes 
1580,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,"1-4-3: organizar, planificar y programar trabajo y actividades "
1581,4-3: Empleados contables y encargados del registro de materiales ,1-6-1: manipular y mover 
1582,9-5: Vendedores ambulantes de servicios y afines ,1-1-2: negociar 
1583,4-2: Empleados en trato directo con el público ,1-8-3: conducir vehículos 
1584,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
1585,2-3: Profesionales de la enseñanza ,1-6-11: limpiar 
1586,7-3: Artesanos y operarios de las artes gráficas ,"1-4-3: organizar, planificar y programar trabajo y actividades "
1587,5-4: Personal de los servicios de protección ,"1-2-2: realizar estudios, investigaciones y análisis "
1588,2-1: Profesionales de las ciencias y de la ingeniería ,1-8-10: operar aeronaves 
1589,7-4: Trabajadores especializados en electricidad y la electrotecnología ,1-1-13: escribir y redactar 
1590,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-4-8: reclutar y contratar 
1591,2-3: Profesionales de la enseñanza ,"1-2-9: realizar seguimiento, inspección y ensayos "
1592,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
1593,1-3: Directores y gerentes de producción y operaciones ,1-6-11: limpiar 
1594,9-5: Vendedores ambulantes de servicios y afines ,1-3-2: ofrecer orientación 
1595,8-2: Ensambladores ,1-1-10: solucionar problemas 
1596,4-2: Empleados en trato directo con el público ,1-3-6: preparar y servir alimentos y bebidas 
1597,4-2: Empleados en trato directo con el público ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
1598,"6-2: Trabajadores forestales calificados, pescadores y cazadores ","1-6-2: clasificar y envasar, embalar y empaquetar mercancías y materiales "
1599,2-3: Profesionales de la enseñanza ,1-6-10: manipular animales 
1600,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
1601,4-4: Otro personal de apoyo administrativo ,1-4-8: reclutar y contratar 
1602,1-2: Directores administradores y comerciales ,1-1-6: prestar asesoramiento y consultoría 
1603,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
1604,1-3: Directores y gerentes de producción y operaciones ,1-2-7: calcular y estimar 
