fecha_online,pais,conteo,conteo_MA,semana
14,El Salvador,69,118.66666666666667,12 de abril
14,Uruguay,28,56.333333333333336,12 de abril
14,Venezuela,452,414.0,12 de abril
15,Argentina,1675,3181.0,19 de abril
15,Bolivia,188,66.0,19 de abril
15,Brasil,3358,5318.333333333333,19 de abril
15,Chile,569,1111.0,19 de abril
15,Colombia,2508,5099.666666666667,19 de abril
15,Costa Rica,102,87.0,19 de abril
15,Rep. Dominicana,10,37.666666666666664,19 de abril
15,Ecuador,73,63.0,19 de abril
15,Guatemala,238,293.0,19 de abril
15,Honduras,31,52.333333333333336,19 de abril
15,Nicaragua,22,49.666666666666664,19 de abril
15,Panamá,9,8.666666666666666,19 de abril
15,Perú,877,1243.0,19 de abril
15,Paraguay,10,40.0,19 de abril
15,El Salvador,111,143.0,19 de abril
15,Uruguay,52,66.66666666666667,19 de abril
15,Venezuela,444,412.6666666666667,19 de abril
16,Argentina,4223,2839.0,26 de abril
16,Bolivia,5,65.66666666666667,26 de abril
16,Brasil,2424,3924.6666666666665,26 de abril
16,Chile,1898,1150.3333333333333,26 de abril
16,Colombia,10030,5473.333333333333,26 de abril
16,Costa Rica,70,70.33333333333333,26 de abril
16,Rep. Dominicana,12,40.0,26 de abril
16,Ecuador,52,55.666666666666664,26 de abril
16,Guatemala,226,195.33333333333334,26 de abril
16,Honduras,80,46.333333333333336,26 de abril
16,Nicaragua,21,48.666666666666664,26 de abril
16,Panamá,15,11.0,26 de abril
16,Perú,229,480.3333333333333,26 de abril
16,Paraguay,11,39.666666666666664,26 de abril
16,El Salvador,117,99.0,26 de abril
16,Uruguay,56,45.333333333333336,26 de abril
16,Venezuela,429,441.6666666666667,26 de abril
17,Argentina,2942,2946.6666666666665,3 de mayo
17,Bolivia,3,65.33333333333333,3 de mayo
17,Brasil,5900,3894.0,3 de mayo
17,Chile,1085,1184.0,3 de mayo
17,Colombia,4308,5615.333333333333,3 de mayo
17,Costa Rica,78,83.33333333333333,3 de mayo
17,Rep. Dominicana,14,12.0,3 de mayo
17,Ecuador,66,63.666666666666664,3 de mayo
17,Guatemala,285,249.66666666666666,3 de mayo
17,Honduras,52,54.333333333333336,3 de mayo
17,Nicaragua,56,33.0,3 de mayo
17,Panamá,15,13.0,3 de mayo
17,Perú,790,632.0,3 de mayo
17,El Salvador,155,127.66666666666667,3 de mayo
17,Uruguay,62,56.666666666666664,3 de mayo
17,Venezuela,443,438.6666666666667,3 de mayo
